10000000	421
20000000	665
30000000	1042
40000000	1367
50000000	1874
60000000	2276
70000000	2670
80000000	2875
90000000	3818
100000000	4683


10000000	368
20000000	761
30000000	1157
40000000	1732
50000000	1977
60000000	2056
70000000	2625
80000000	2942
90000000	8962
100000000	4631


10000000	343
20000000	649
30000000	1030
40000000	1520
50000000	1786
60000000	2255
70000000	2908
80000000	2610
90000000	3029
100000000	3687


10000000	336
20000000	688
30000000	969
40000000	1239
50000000	1611
60000000	1973
70000000	2370
80000000	2965
90000000	2963
100000000	3562


10000000	323
20000000	642
30000000	1011
40000000	1564
50000000	1604
60000000	1905
70000000	2300
80000000	2638
90000000	2975
100000000	3207
